Player,Team,Number,Years,Other appearances
Sami Khedira,Germany,1,2014,"2010, 2018"
Daniel Killer,Argentina,1,1978,
Presnel Kimpembe,France,1,2018,
Kléberson,Brazil,1,2002,2010
Wolfgang Kleff,West Germany,1,1974,
Jürgen Klinsmann,West Germany,1,1990,"1994, 1998"
Bernhard Klodt,West Germany,1,1954,1958
Miroslav Klose,Germany,1,2014,"2002, 2006, 2010"
Jürgen Kohler,West Germany,1,1990,"1994, 1998"
Werner Kohlmeyer,West Germany,1,1954,
Andreas Köpke,West Germany,1,1990,"1994, 1998"
Christoph Kramer,Germany,1,2014,
Helmut Kremers,West Germany,1,1974,
Toni Kroos,Germany,1,2014,"2010, 2018"
Heinz Kubsch,West Germany,1,1954,
Heinz Kwiatkowski,West Germany,1,1954,1958
Ricardo La Volpe,Argentina,1,1978,
Fritz Laband,West Germany,1,1954,
Philipp Lahm,Germany,1,2014,"2006, 2010"
Bernard Lama,France,1,1998,
Omar Larrosa,Argentina,1,1978,
Leão,Brazil,1,1970,"1974, 1978, 1986"
Frank Leboeuf,France,1,1998,2002
Thomas Lemar,France,1,2018,
Leonardo,Brazil,1,1994,1998
Werner Liebrich,West Germany,1,1954,
Pierre Littbarski,West Germany,1,1990,"1982, 1986"
Bixente Lizarazu,France,1,1998,2002
Fernando Llorente,Spain,1,2010,
Hugo Lloris,France,1,2018,"2010, 2014"
Ugo Locatelli,Italy,1,1938,
Lúcio,Brazil,1,2002,"2006, 2010"
Luizão,Brazil,1,2002,
Leopoldo Luque,Argentina,1,1978,
Karl Mai,West Germany,1,1954,
Sepp Maier,West Germany,1,1974,"1966, 1970, 1978"
Steve Mandanda,France,1,2018,2010
Diego Maradona,Argentina,1,1986,"1982, 1990, 1994"
Carlos Marchena,Spain,1,2010,2006
Márcio Santos,Brazil,1,1994,
Marco Antônio,Brazil,1,1970,1974
Marcos,Brazil,1,2002,
Gianpiero Marini,Italy,1,1982,
Javi Martínez,Spain,1,2010,2014
William Martínez,Uruguay,1,1950,"1954, 1962"
Ernesto Mascheroni,Uruguay,1,1930,
Roque Máspoli,Uruguay,1,1950,1954
Daniele Massaro,Italy,1,1982,1994
Juan Mata,Spain,1,2010,2014
Marco Materazzi,Italy,1,2006,2002
Lothar Matthäus,West Germany,1,1990,"1982, 1986, 1994, 1998"
Blaise Matuidi,France,1,2018,2014
Mauro Silva,Brazil,1,1994,
Mazinho,Brazil,1,1994,1990
Kylian Mbappé,France,1,2018,
Paul Mebus,West Germany,1,1954,
Ángel Melogno,Uruguay,1,1930,
Benjamin Mendy,France,1,2018,
Mengálvio,Brazil,1,1962,
Per Mertesacker,Germany,1,2014,"2006, 2010"
Karl-Heinz Metzner,West Germany,1,1954,
Óscar Míguez,Uruguay,1,1950,1954
Frank Mill,West Germany,1,1990,
Moacir,Brazil,1,1958,
Andreas Möller,West Germany,1,1990,"1994, 1998"
Luis Monti,Italy,1,1934,1930 (for Argentina)
Bobby Moore,England,1,1966,"1962, 1970"
Rubén Morán,Uruguay,1,1950,
Max Morlock,West Germany,1,1954,
Müller,Brazil,1,1994,"1986, 1990"
Gerd Müller,West Germany,1,1974,1970
Thomas Müller,Germany,1,2014,"2010, 2018"
Shkodran Mustafi,Germany,1,2014,
José Nasazzi,Uruguay,1,1930,
Jesús Navas,Spain,1,2010,
Alessandro Nesta,Italy,1,2006,"1998, 2002"
Günter Netzer,West Germany,1,1974,
Manuel Neuer,Germany,1,2014,"2010, 2018"
Norbert Nigbur,West Germany,1,1974,
Steven Nzonzi,France,1,2018,
Massimo Oddo,Italy,1,2006,
Julio Olarticoechea,Argentina,1,1986,"1982, 1990"
Jorge Olguín,Argentina,1,1978,1982
Aldo Olivieri,Italy,1,1938,
Renato Olmi,Italy,1,1938,
Oreco,Brazil,1,1958,
Gabriele Oriali,Italy,1,1982,
Orlando,Brazil,1,1958,1966
Raimundo Orsi,Italy,1,1934,
Oscar Ortiz,Argentina,1,1978,
Washington Ortuño,Uruguay,1,1950,
Wolfgang Overath,West Germany,1,1974,"1966, 1970"
Miguel Oviedo,Argentina,1,1978,
Mesut Özil,Germany,1,2014,"2010, 2018"
Rubén Pagnanini,Argentina,1,1978,
Terry Paine,England,1,1966,
Pedro Pasculli,Argentina,1,1986,
Pietro Pasinati,Italy,1,1938,
Paulo Sérgio,Brazil,1,1994,
Benjamin Pavard,France,1,2018,
Aníbal Paz,Uruguay,1,1950,
Pedro,Spain,1,2010,2014
Mario Perazzolo,Italy,1,1938,
Julio Pérez,Uruguay,1,1950,1954
Simone Perrotta,Italy,1,2006,
Angelo Peruzzi,Italy,1,2006,
Martin Peters,England,1,1966,1970
Emmanuel Petit,France,1,1998,2002
Pedro Petrone,Uruguay,1,1930,
Alfred Pfaff,West Germany,1,1954,
Hans Pflügler,West Germany,1,1990,
Rodolfo Pini,Uruguay,1,1950,
Silvio Piola,Italy,1,1938,
Gerard Piqué,Spain,1,2010,"2014, 2018"
Robert Pires,France,1,1998,
Conduelo Píriz,Uruguay,1,1930,
Andrea Pirlo,Italy,1,2006,"2010, 2014"
Mario Pizziolo,Italy,1,1934,
Lukas Podolski,Germany,1,2014,"2006, 2010"
Paul Pogba,France,1,2018,2014
Josef Posipal,West Germany,1,1954,
Nery Pumpido,Argentina,1,1986,"1982, 1990"
Carles Puyol,Spain,1,2010,"2002, 2006"
Helmut Rahn,West Germany,1,1954,1958
Raí,Brazil,1,1994,
Adil Rami,France,1,2018,
Sergio Ramos,Spain,1,2010,"2006, 2014, 2018"
Pietro Rava,Italy,1,1938,
Emilio Recoba,Uruguay,1,1930,
Pepe Reina,Spain,1,2010,"2006, 2014, 2018"
Stefan Reuter,West Germany,1,1990,1998
Ricardinho,Brazil,1,2002,2006
Ricardo Rocha,Brazil,1,1994,1990
Karl-Heinz Riedle,West Germany,1,1990,1994
Luis Rijo,Uruguay,1,1950,
Carlos Riolfo,Uruguay,1,1930,
Rivaldo,Brazil,1,2002,1998
Rivellino,Brazil,1,1970,"1974, 1978"
Roberto,Brazil,1,1970,
Roberto Carlos,Brazil,1,2002,"1998, 2006"
Víctor Rodríguez Andrade,Uruguay,1,1950,1954
Rogério Ceni,Brazil,1,2002,2006
Romário,Brazil,1,1994,1990
Carlos Romero,Uruguay,1,1950,
Ronaldão,Brazil,1,1994,
Ronaldinho,Brazil,1,2002,2006
Roque Júnior,Brazil,1,2002,
Virginio Rosetta,Italy,1,1934,
Paolo Rossi,Italy,1,1982,"1978, 1986"
Oscar Ruggeri,Argentina,1,1986,"1990, 1994"
Zoilo Saldombide,Uruguay,1,1930,
Héctor Scarone,Uruguay,1,1930,
Hans Schäfer,West Germany,1,1954,"1958, 1962"
Juan Alberto Schiaffino,Uruguay,1,1950,1954
Angelo Schiavio,Italy,1,1934,
André Schürrle,Germany,1,2014,
Hans-Georg Schwarzenbeck,West Germany,1,1974,1978
Bastian Schweinsteiger,Germany,1,2014,"2006, 2010"
Gaetano Scirea,Italy,1,1982,"1978, 1986"
Franco Selvaggi,Italy,1,1982,
Pietro Serantoni,Italy,1,1938,
Djibril Sidibé,France,1,2018,
David Silva,Spain,1,2010,"2014, 2018"
Ron Springett,England,1,1966,1962
Paul Steiner,West Germany,1,1990,
Nobby Stiles,England,1,1966,1970
Cláudio Taffarel,Brazil,1,1994,"1990, 1998"
Carlos Tapia,Argentina,1,1986,
Alberto Tarantini,Argentina,1,1978,1982
Marco Tardelli,Italy,1,1982,"1978, 1986"
Domingo Tejera,Uruguay,1,1930,
Eusebio Tejera,Uruguay,1,1950,1954
Florian Thauvin,France,1,2018,
Olaf Thon,West Germany,1,1990,"1986, 1998"
Lilian Thuram,France,1,1998,"2002, 2006"
Corentin Tolisso,France,1,2018,
Luca Toni,Italy,1,2006,
Fernando Torres,Spain,1,2010,"2006, 2014"
Tostão,Brazil,1,1970,1966
Francesco Totti,Italy,1,2006,2002
David Trezeguet,France,1,1998,"2002, 2006"
Marcelo Trobbiani,Argentina,1,1986,
Toni Turek,West Germany,1,1954,
Samuel Umtiti,France,1,2018,
Santos Urdinarán,Uruguay,1,1930,
Jorge Valdano,Argentina,1,1986,1982
Víctor Valdés,Spain,1,2010,
José Daniel Valencia,Argentina,1,1978,1982
Vampeta,Brazil,1,2002,
Raphaël Varane,France,1,2018,2014
Obdulio Varela,Uruguay,1,1950,1954
Mario Varglien,Italy,1,1934,
Ernesto Vidal,Uruguay,1,1950,
Patrick Vieira,France,1,1998,"2002, 2006"
Pietro Vierchowod,Italy,1,1982,"1986, 1990"
Héctor Vilches,Uruguay,1,1950,
David Villa,Spain,1,2010,"2006, 2014"
